row_type,evaluation_role,phase_segment_counts,sample_agreement,touchdown_events,touchdown_detected,touchdown_latency_median_ms,touchdown_latency_p95_abs_ms,contact_state_ready,diagnostic_phase,inferred_phase,sample_count,run_id,episode_index,physical_touchdown_sample,inferred_touchdown_sample,phase_inference_latency_ms
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,5,274,266,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,6,325,325,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,7,345,345,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,8,391,391,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,9,491,491,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,10,775,848,73
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,11,848,848,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,12,863,863,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,13,877,877,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,14,898,898,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,15,913,913,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,16,923,913,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,17,950,950,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,18,1241,1241,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,19,1325,1325,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,20,1345,1345,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,21,1375,1375,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,22,1444,1444,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,23,1451,1444,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,24,1530,1530,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,25,1541,1541,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,26,1543,1541,-2
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,27,1549,1541,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,28,1556,1549,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,29,1716,1716,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,30,1745,1745,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,31,1854,1854,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,32,2084,2084,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,33,2106,2106,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,34,2118,2118,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,35,2125,2118,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,36,2133,2125,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,37,2139,2133,-6
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,38,2452,2452,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,39,2579,2579,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,40,2615,2615,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,41,2624,2615,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,42,2658,2658,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,43,2670,2670,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,44,2681,2681,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,45,2687,2681,-6
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,46,2693,2687,-6
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,47,2700,2693,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,48,2709,2700,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,49,2718,2709,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,50,2722,2718,-4
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,51,2725,2718,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,52,2728,2718,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,53,2732,2722,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,54,2740,2732,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,55,2749,2740,-9
